owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000108,ArtiCon Künstleragentur,Eschen,Eschen,FL,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000109,Commission culturelle d'Estavayer <Spielstätte: la salle de Prillaz>,Estavayer,Estavayer,FR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000110,Kulturverein Touch,Flawil,Flawil,SG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000111,Kultur im Eisenwerk (Verein) <Spielstätte: VorStadttheater im Eisenwerk>,Frauenfeld,Frauenfeld,TG,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000112,Tanzforum Ostschweiz,Frauenfeld,Frauenfeld,TG,,,na,1990-2003,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000113,Theaterverein Frauenfeld <Spielstätte: Casino Frauenfeld>,Frauenfeld,Frauenfeld: Casino Frauenfeld,TG,,Inthega,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000114,Theater in Freiburg <Spielstätte: Equilibre>,Freiburg,Freiburg,FR,,Inthega,a,,Deutschfreiburgische Arbeitsgemeinschaft (DFAG),,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000115,"Bouillon de culture <Spielstätte: Le Tunnel, Fribourg>",Fribourg,Fribourg,FR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000116,Opéra de Fribourg (Freiburger Oper) (Oper Freiburg),Fribourg,Fribourg,FR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000117,Simico Productions,Fribourg,Fribourg,FR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000118,LAire du Théâtre,Fribourg,Fribourg,FR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000119,Eventcompany,Freidorf,Roggwil (Freidorf)?,TG,,,na,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000120,"Kulturvereinigung Urschrei <Hauptbetreiberin des Meck, Frick>",Frick,Frick,AG,,,a,,,,,,
,,,,,,,,,,,,,,
,,"Association pour la danse contemporaine (ADC)<Spielstätten: Salle des Eaux-Vives, Bâtiment des forces motrices>",Genève,"Genève: ADC (siehe auch Genève: Salle Patiño, Genève: Salle des Eaux Vives)",GE,,Corodis,a,1986-,,,,1 C,1986-
,,AMR (Association pour l'encouragemen de la musique improvisée),Genève,Genève,GE,,,a,1973-,,,,1 C,"1984, 1990-"
,,APIC (Association des Producteurs Indépendants Chorégraphes),Genève,Genève,GE,,,na,?,,,,1 C,"1991, 1993, 1995"
,,Association Pro Zero Two Two,Genève,Genève,GE,,,a,,,,,,
,,Compagnons de Romandie,Genève,Genève,GE,,,na,1940-?,,,,,
,,Fondation d'Art Dramatique (FAD) <urspr.Träger der Comédie und Le Poche>,Genève,Genève: Généralités,GE,,,a,,,,,,
,,Jour de rêve,Genève,Genève,GE,,Unima,a,,,,,,
,,LOpéra de Chambre de Genève,Genève,Genève,GE,,,a,,Section lyrique du Collegium Academicum,,,,
,,L'Opéra-Studio de Genève) (opéra mobile),Genève,Genève,GE,,,a,,,,,,
,,Operami (association),Genève,Genève,GE,,,a,,,,,,
,,Les Tisseuses de Paroles,Genève,Genève,GE,,,a,,,,,,
,,Service Culturel Migros (Société Coopérative Migros) (SCM),Genève,Genève,GE,,KTV,a,,,,,,
,,Swiss Arthur Prod,Genève,Genève,GE,,,a,,,,,,
,,Viser la Lune,Genève,Genève,GE,,,a,,,,,,
,,Kulturausschuss Gerlafingen,Gerlafingen,Gerlafingen,SO,,KTV,a,,,,,,
,,Kulturgesellschaft Glarus (Glarner Konzert- und Theatergesellschaft GKTG) <Spielstätten: Aula der Kantonsschule Glarus u.a.),Glarus,Glarus,GL,,KTV,a,,"Glarner Musikgesellschaft, Glarner Musik und Vortragsgesellschaft",,,,
,,Kultur i de Aula,Goldach,Goldach,SG,,KTV,a,,,,,,
,,Kulturkreis Gossau <verschiedene Spielstätten>,Gossau SG,Gossau SG,SG,,KTV,a,,,,,,
,,Art of Emotions,Gümligen (?),Bern,BE,,,a,,,,,,
,,Keep Cool Produktion AG,Hagendorn,Hagendorn,ZG,,,a,,,,,,
,,Tellspielgenossenschaft Hägglingen,Hägglingen,Hägglingen,AG,,-0,na,,,,,,
,,Kultur im Dorf Hausen am Albis (Verein),Hausen a/A,Hausen a/A,ZH,,KTV,a,,,,,,
,,Kulturgruppe Lindenblüten (Genossenschaft Hotel Linde) <Spielstätte: Hotel Linde>,Heiden,Heiden,AR,,KTV,a,,,,,,
,,domino Event Sarl,Herisau,Herisa,AR,,,a,,,,,,
,,kultur is dorf herisau <Spielstätte: Altes Zeughaus Herisau>,Herisau ,Herisau,AR,,KTV,a,,,,,,
,,Kreuzabende (Verein) <Spielstätte: Altes Schlachthaus u.a.>,Herzogenbuchsee,Herzogenbuchsee,BE,,KTV,a,,,,,,
,,Kulturgöpel <Spielstätte: Kipferhaus>,Hinterkappelen,Hinterkappelen,BE,,KTV,a,,,,,,
,,Humorfactory Widmer (Humor- & Musicfactory),Holzhäusern,Holzhäusern,ZG,,KTV,a,,,,,,
,,Kulturgruppe Hünenberg <versch. Spielstätten>,Hünenberg,Hünenberg,ZG,,KTV,a,,,,,,
,,Amphitheater Hüntwangen,Hüntwangen,Hüntwangen,ZH,,,a,,,,,,
,,ArteCultura,Igis,Igis,GR,,KTV,a,,,,,,
,,Kunstgesellschaft Interlaken,Interlaken,Interlaken,BE,,KTV,a,,,,,,
,,Luegarena Erlebnisbühne Emmental,Kaltacker,Kaltacker,BE,,,a,,,,,,
,,Kulturtankstelle im Kiental,Kiental,Kiental,BE,,,a,,,,,,
,,Noble Horse Empire AG korr. NT Nobel Horse,Knonau,Basel,BS,,,a,,,,,,
,,Tanz & Kunst Königsfelden (tanz&kunst Königsfelden),Königsfelden,Königsfelden,AG,,,a,,,,,,
,,Armuzz Artisten- und Musikzentrale,Kollbrunn,Kollbrunn,ZH,,KTV,a,,,,,,
,,Späktrum Kultur in Kölliken,Kölliken,Kölliken,AG,,KTV,a,,,,,,
,,Le Théâtre Kriens-Luzern,Kriens,Kriens,LU,,,a,,,,,,
