owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000193,Muse:on ,"Franz, Franziska",Basel,Basel,BS,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000194,Musica Fiorita,"Dolci, Daniela u.a.",Basel (Oberwil),Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000195,Niemandsland (Theatergruppe),-0,Basel,Basel,BS,,,,a,2002-,,,,1 C,2002-(2007)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000196,objective:spectacle,"Wirth, Christoph +Pohl, Clara Clementine + Lénoble, Victor + Veillon, Olivier","Basel, Berlin",Basel,BS,,,,a,,,,,1 R,(2015)-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000197,Od-theater (OD-Theater),"Jendreyko, G. Antonia + Jendreyko, H.-Dieter",Basel,Basel,BS,,,,a,1986-,,,,1 C,1986-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000198,offline:ontheater,"Glass, Benjamin + Glass, Christof + Marseiler, Sybille",Basel,Basel,BS,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000199,Opera mobile basel,?,Basel,Basel,BS,,,,na,1982-?,,,,1 C,1982-(1993)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000200,Overall,?,Basel,Basel,BS,,,,na,1989-?,,,,1 C,1989-(1994)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000201,paraform (Paraform),"Schwald, Marcel",Basel,Basel,BS,,,,a,?,,,,1 C,2007 / 2013
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000202,Pas de trois,?,Basel,Basel: Kaserne (Kulturwerkstatt Kaserne),BS,,,,na,,Experimentierbühne Basel,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000203,Pasticcio Renano (Barockensemble),"Brandt, Stefan u.a.",Basel,Basel,BS,,,,na,,,,,1 C,2002-(2004)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000204,Palazzo Colmbino,"Dürr, Thomas + Zispe, Clemens",Basel,Variété: Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000205,Panderma (Surrealisten-Gruppe),"Laszlo, Carl + Fenkart, Rolf + Haubensack, Peter u.a.",Basel,Basel,BS,,,,na,1957-1958,,,,1 C,1957-1958
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000206,Pello (Clown) (Pello & Matto),"Meier, Heinz",Basel,"Meier, Heinz",BS,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000207,Pix (später: Klara Theaterproduktionen),"Spiess, J. + Wolff, M. + Frick, Chr.",Basel,Basel,BS,,,,na,1989-1994,,,,1 C,1989-1994
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000208,"Ensemble Phoenix, Phoenix-Ensemble","Henneberger, Jürg u.a.",Basel,Base: Phoenix-Ensembell,BS,,,,a,,,,,1 C,1998-(2011)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000209,Polenta Produktionen ,"Mink, Julia + Wenger, Céline",Basel,Basel,BS,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000210,prostxzeit (prost x zeit),"Steiner, Michael + Tobler, Andy + Veith, Kathrin + Vonder Mühll, Nora u.a.",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000211,quasi Theater und Musik (Theater quasi)(theaterquasi),"Picenoni, Claudia + Laube, Brigitta",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000212,Quattro Stagioni,"Bricola, Alain + Erig, Richard + Buser, Cornelius + Ragaz, Paul + Thöni, Walter + Volk, Christina + Mosimann, Jürg u.a.",Basel,Basel,BS,,,,na,1978-2012,,,,1 C,(1985)-(2007)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000213,Radio Basel (u.a. Hörspielgruppe),-0,Basel,Basel,BS,,,,na,,,,,1 C,(1939)-(1994)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000214,"Resslirytti (Das kleine Zeittheater ""Resslirytti"") (Cabaret)","Ackermann, Willy + Terffola (Affolter), Charly + Mitnik-Gauss Naum",Basel,Kabarett: Basel,BS,,,,na,1935-1939,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000215,Recherchen-Theater,?,Basel,Basel,BS,,,,na,,,,,1 C,1989-(1991)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000216,Ruffnec Company,?,Basel,Basel,BS,,,,na,,,,,1 C,2001
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000217,Sauce Claire (Cabaret),"Ackermann, Ueli + Bachmann, Raphael",Basel<STS Kabarett: Basel ...>,Kabarett: Basel,BS,,,,na,1983-2000,,,,,(1983)-(2000)
